id,Skin Care Clinic,Location,Services,Product,Rep_Name,Order_Date,Order_ID,Ship_Date,Units_Sold,Unit_Price,Total_Revenue
80,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Brady Super Black,Maria Peters,7/29/2015,178377473,9/1/2015,80,280,2060523.6
81,Skin Care Clinic,"San Jose, Tarlac",Skin Peeling,Provamed Gluta,Kimberly MacDonald,8/2/2015,489148938,9/1/2015,91,280,3753133.44
82,Skin Care Clinic,"Paniqui, Tarlac",Skin Peeling,AhaGlow-Skin Repair Gel,Sally Gray,8/6/2015,251466166,9/8/2015,87,700,837828.96
83,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Gabrielle Peters,8/6/2015,717110955,8/9/2015,88,500,5294034.94
84,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,D' Klenz Bar,Robert Welch,8/7/2015,238714301,9/13/2015,63,900,1062310.88
85,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Thomas Powell,8/9/2015,683184659,8/23/2015,66,1200,397488.65
86,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Prolab,Paul Cornish,8/12/2015,248121345,9/14/2015,66,1200,535358.5
87,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Cameron Graham,8/12/2015,283504188,9/2/2015,76,300,617033.52
88,Skin Care Clinic,"Paniqui, Tarlac",Skin Peeling,AhaGlow-Skin Repair Gel,Deirdre Parr,8/15/2015,280749452,10/1/2015,87,700,2260759.68
89,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Theresa Hemmings,8/23/2015,950427091,9/14/2015,88,500,880435.92
90,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,D' Klenz Bar,Rose Paige,8/27/2015,880999934,9/16/2015,63,900,689884.64
91,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Sebastian Ferguson,8/30/2015,778708636,9/2/2015,65,600,494057.85
92,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Brady Super Black,Donna Lawrence,8/31/2015,651621711,10/16/2015,80,280,3585040
93,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Diane Quinn,9/1/2015,366630351,10/12/2015,88,500,1903486.83
94,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Carolyn Arnold,9/4/2015,262056386,10/24/2015,66,1200,339884.35
95,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Luke Parr,9/4/2015,133276879,10/17/2015,66,1200,400715.25
96,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Prolab,Peter Mackay,9/5/2015,737816321,9/21/2015,66,1200,785706
97,Skin Care Clinic,"Paniqui, Tarlac",Skin Peeling,AhaGlow-Skin Repair Gel,Connor Hudson,9/7/2015,887180173,10/18/2015,87,700,1323116.24
98,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Prolab,Joseph Parr,9/14/2015,151854932,10/19/2015,66,1200,940382.24
99,Skin Care Clinic,"Pinasling, Gerona, Tarlac",Laser Hair Removal,Prolab,Emily Mills,9/16/2015,536028802,9/22/2015,69,1200,15758.37
100,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Ian Piper,9/19/2015,807678210,10/30/2015,76,300,1340567.88
101,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Boris Simpson,9/26/2015,272021179,11/8/2015,65,600,366722.51
102,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Neil Mackay,9/30/2015,331604564,11/17/2015,65,600,654984.22
103,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Anthony Welch,10/3/2015,164569461,10/5/2015,76,300,1314476.7
104,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Prolab,Paul Skinner,10/3/2015,694722020,10/3/2015,69,1200,391158.34
105,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Oat Milk Soap,Katherine Dowd,10/6/2015,494468724,10/23/2015,76,500,645692.3
106,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Prolab,Fiona Rutherford,10/6/2015,423821055,10/22/2015,69,1200,1066557.38
107,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Brady Super Black,Colin Scott,10/15/2015,494745099,10/30/2015,89,280,2152772.8
108,Skin Care Clinic,"Paniqui, Tarlac",Skin Peeling,AhaGlow-Skin Repair Gel,Ava Jackson,10/16/2015,166066348,12/5/2015,87,700,402831.84
109,Skin Care Clinic,"Pinasling, Gerona, Tarlac",Laser Hair Removal,Prolab,Eric Nash,10/19/2015,674808442,10/24/2015,69,1200,90211.77
110,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Oat Milk Soap,Theresa MacDonald,10/19/2015,504270160,11/25/2015,76,500,740725.7
111,Skin Care Clinic,"Paniqui, Tarlac",Skin Peeling,AhaGlow-Skin Repair Gel,Emma Poole,10/19/2015,306889617,10/21/2015,87,700,1100767.36
112,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Oat Milk Soap,Deirdre Miller,10/20/2015,861601769,12/2/2015,76,500,1227000.5
113,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,D' Klenz Bar,Victor North,10/21/2015,699368035,12/7/2015,63,900,808453.44
114,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Wanda Roberts,10/24/2015,719362294,12/3/2015,65,600,338689.12
115,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,D' Klenz Bar,Joshua Vance,10/25/2015,191256368,11/9/2015,63,900,640817.92
116,Skin Care Clinic,"Paniqui, Tarlac",Skin Peeling,AhaGlow-Skin Repair Gel,Isaac Scott,10/26/2015,444604098,10/31/2015,87,700,1809424.64
117,Skin Care Clinic,"San Jose, Tarlac",Skin Peeling,Provamed Gluta,Ian Murray,10/31/2015,794969689,11/13/2015,91,280,3397058.28
118,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Christian Wallace,11/1/2015,888248336,11/7/2015,65,600,104287.48
119,Skin Care Clinic,"San Jose, Tarlac",Skin Peeling,Provamed Gluta,Brandon Anderson,11/3/2015,139540803,12/4/2015,91,280,877109.31
120,Skin Care Clinic,"Pinasling, Gerona, Tarlac",Laser Hair Removal,Prolab,Alan Wallace,11/5/2015,430081975,12/9/2015,69,1200,90211.77
121,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Oat Milk Soap,Colin Payne,11/8/2015,940870702,11/21/2015,76,500,700202.8
122,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,D' Klenz Bar,Max Ferguson,11/11/2015,432995069,12/13/2015,63,900,187743.04
123,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Oat Milk Soap,Sally Quinn,11/12/2015,247776305,11/30/2015,76,500,281809
124,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Jane Knox,11/13/2015,409774005,11/27/2015,65,600,7273.97
125,Skin Care Clinic,"Paniqui, Tarlac",Skin Peeling,AhaGlow-Skin Repair Gel,Katherine Mills,11/14/2015,783596694,12/24/2015,87,700,645858.4
126,Skin Care Clinic,"Pinasling, Gerona, Tarlac",Laser Hair Removal,Cera-Oat Soap,Emily Hudson,11/16/2015,267888581,12/22/2015,76,300,28353.87
127,Skin Care Clinic,"San Jose, Tarlac",Skin Peeling,Provamed Gluta,Alexander Powell,11/16/2015,841492497,12/31/2015,91,280,2187499.65
128,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,D' Klenz Bar,Alexandra Allan,11/17/2015,951380240,12/20/2015,63,900,525344.6
129,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Angela Henderson,11/18/2015,841138446,12/8/2015,88,500,268949.73
130,Skin Care Clinic,"Pinasling, Gerona, Tarlac",Laser Hair Removal,Cera-Oat Soap,Kylie McDonald,11/21/2015,960905301,11/25/2015,76,300,19471.71
131,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,D' Klenz Bar,Amy Marshall,11/27/2015,693743550,1/9/2016,63,900,460331.28
132,Skin Care Clinic,"Paniqui, Tarlac",Skin Peeling,AhaGlow-Skin Repair Gel,Amanda Dickens,11/30/2015,547528827,12/15/2015,87,700,1225854.56
133,Skin Care Clinic,"San Jose, Tarlac",Skin Peeling,Provamed Gluta,Benjamin Walker,12/1/2015,248093020,12/16/2015,91,280,2148685.77
134,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Kylie Vaughan,12/9/2015,606055057,1/23/2016,88,500,2682435.78
135,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Brady Super Black,Adam Hemmings,12/10/2015,533006703,1/23/2016,89,280,3227847.6
136,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Edward Sanderson,12/13/2015,461768949,12/30/2015,65,600,535168.04
137,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,D' Klenz Bar,Fiona Baker,12/15/2015,729443109,1/12/2016,63,900,1121710.86
138,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,D' Klenz Bar,Chloe Forsyth,12/26/2015,716849601,12/31/2015,63,900,63600.96
139,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Faith Cameron,12/28/2015,464840400,2/5/2016,76,300,832934.22
140,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,D' Klenz Bar,Chloe Vance,12/31/2015,867551982,1/3/2016,63,900,739279.2
141,Skin Care Clinic,"Paniqui, Tarlac",Skin Peeling,AhaGlow-Skin Repair Gel,Alexander Langdon,1/1/2016,462085664,1/15/2016,87,700,69180.88
142,Skin Care Clinic,"Pinasling, Gerona, Tarlac",Laser Hair Removal,Cera-Oat Soap,Diane Buckland,1/2/2016,692566382,1/14/2016,76,300,43272.54
143,Skin Care Clinic,"Pinasling, Gerona, Tarlac",Laser Hair Removal,Cera-Oat Soap,Katherine Scott,1/8/2016,714135205,2/6/2016,76,300,68407.56
144,Skin Care Clinic,"Pinasling, Gerona, Tarlac",Laser Hair Removal,Cera-Oat Soap,Sean Johnston,1/8/2016,221530139,1/26/2016,76,300,42414.18
145,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Oliver Lawrence,1/9/2016,890695369,2/23/2016,69,1200,256609.6
146,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Theresa Hunter,1/11/2016,759279143,2/18/2016,88,500,4184675.46
147,Skin Care Clinic,"San Jose, Tarlac",Skin Peeling,Provamed Gluta,John Burgess,1/14/2016,972678697,2/25/2016,91,280,2571841.44
148,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Rachel Underwood,1/17/2016,379710948,1/30/2016,65,600,307468.26
149,Skin Care Clinic,"Paniqui, Tarlac",Skin Peeling,AhaGlow-Skin Repair Gel,Piers Jones,1/18/2016,373335015,2/28/2016,69,700,1782364.96
150,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Michelle Murray,1/25/2016,960085189,2/13/2016,69,1200,445887.65
151,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Bernadette Nash,1/26/2016,812295901,2/13/2016,88,500,3427318.23
152,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Sonia Howard,1/26/2016,718781220,2/19/2016,77,500,1464179.57
153,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,D' Klenz Bar,Michelle Young,1/27/2016,801590669,3/15/2016,63,900,802880.16
154,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,D' Klenz Bar,Andrew Hamilton,1/28/2016,851299941,2/1/2016,63,900,811404
155,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,D' Klenz Bar,Victor Wright,1/29/2016,693159472,2/5/2016,63,900,15954.88
156,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Natalie Mathis,2/1/2016,644670712,3/21/2016,65,300,189962.1
157,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Lisa North,2/3/2016,347163522,3/22/2016,65,600,184382.88
158,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Heather Rampling,2/4/2016,854095017,3/4/2016,78,1200,215897.5
159,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Victoria Hart,2/10/2016,669978749,3/20/2016,78,1200,21589.75
160,Skin Care Clinic,"Pinasling, Gerona, Tarlac",Laser Hair Removal,Cera-Oat Soap,Blake Hardacre,2/14/2016,103617227,3/12/2016,65,300,13948.35
161,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,D' Klenz Bar,Joshua Lyman,2/16/2016,466970717,3/18/2016,63,900,641145.76
162,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Christian Short,2/20/2016,127468717,3/9/2016,65,600,791228.13
163,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Jonathan Mackenzie,2/21/2016,547143447,2/23/2016,77,500,494919.6
164,Skin Care Clinic,"Paniqui, Tarlac",Skin Peeling,AhaGlow-Skin Repair Gel,Tim Peters,2/21/2016,195833718,4/7/2016,69,700,103133.12
165,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Dylan Lambert,2/23/2016,280571782,3/11/2016,77,500,4089598.8
166,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Brady Super Black,Joanne North,2/27/2016,736967885,3/12/2016,89,280,1761478.8
167,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Michelle Piper,2/28/2016,778490626,3/24/2016,77,500,1023121.37
168,Skin Care Clinic,"Pinasling, Gerona, Tarlac",Laser Hair Removal,Cera-Oat Soap,Benjamin Parsons,3/2/2016,821587932,3/11/2016,65,300,46472.73
169,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,D' Klenz Bar,Brandon Duncan,3/6/2016,280494105,4/14/2016,63,900,507473.64
170,Skin Care Clinic,"San Jose, Tarlac",Skin Peeling,Provamed Gluta,Neil Nolan,3/6/2016,908136594,3/10/2016,91,280,2807256.06
171,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,D' Klenz Bar,Stewart Henderson,3/7/2016,427811324,4/16/2016,63,900,1191345.98
172,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Boris Anderson,3/9/2016,905381858,4/8/2016,77,500,979683.82
173,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,D' Klenz Bar,Leonard Mitchell,3/13/2016,339256370,3/31/2016,63,900,257245.12
174,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Jonathan Brown,3/16/2016,369837844,3/23/2016,65,300,319044.78
